Variable,Measure,COU,Country,Year,Value
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2012,88.6
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2013,91.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2014,89.2
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2015,89.8
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2016,91.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2017,92
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2018,92.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2019,93.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2020,95.8
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2012,2
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2013,2
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2014,0
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2015,33.3
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2016,2.6
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2017,0
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2019,25
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2020,25
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2012,37.6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2013,27.7
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2014,25.5
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2015,24.3
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2016,34.3
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2017,32.3
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2018,29.4
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2019,36.4
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2020,56.6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2021,42.8
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2022,42.6
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2012,64.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2013,53.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2014,54.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2015,48.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2016,48.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2017,50.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2018,41.1
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2019,44.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2020,75.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2021,48.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2022,52.9
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2017,47
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2018,63
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2019,67
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2020,100
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2021,100
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2022,80
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2006,83.7
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2007,85.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2008,87.2
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2009,83.2
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2010,83.2
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2011,83.3
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2012,82.4
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2013,85.4
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2014,86.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2015,85.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2016,87
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2017,88.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2018,88.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2019,89.3
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,EST,Estonia,2020,92.6
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2011,4.9
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2012,6.3
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2013,7.9
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2014,10.4
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2015,11.9
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2016,15.4
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2017,15.1
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2018,12.9
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2019,15.1
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2020,22.8
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2011,23.6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2012,24.5
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2013,23.7
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2014,22.7
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2015,23.3
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2016,26.6
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2017,28.1
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2018,30.1
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2019,29.8
Hysterectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2020,26.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2012,33
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2013,34
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2014,38
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2015,34
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2016,42
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2017,50
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2018,23
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2019,38
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2020,60
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2021,67
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2022,45
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2011,28.7
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2012,33.3
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2013,37.5
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2014,34
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2015,31.2
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2016,31.5
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2017,29
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2018,27.1
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2019,29.6
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2020,36.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2011,42.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2012,37.8
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2013,35.8
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2014,34.2
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2015,35.2
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2016,39.8
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2017,41.3
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2018,44.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2019,45.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2020,57
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2012,98
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2013,86.3
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2014,91
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2015,90.7
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2016,91.6
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2017,90
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2018,87
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2019,87
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2020,94.1
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2021,92
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2022,92
Percutaneous transluminal coronary angioplasty (PTCA),Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2014,91
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2011,23.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2012,25.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2013,28.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2014,27.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2015,25.9
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2016,26.1
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2017,29.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2018,31.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2019,31.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2020,38.4
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2011,26.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2012,26.6
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2013,26.5
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2014,27.3
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2015,27.6
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2016,30
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2017,30.6
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2018,30.4
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2019,33
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2020,37
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2003,25.9
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2004,31.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2005,29.8
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2006,33.6
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2007,32.9
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2008,27.2
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2009,29.5
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2010,24.2
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2011,27.3
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2012,32.1
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2013,31.6
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2014,30.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2015,27.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2016,35.5
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2017,38.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2018,35.7
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2019,41.2
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2020,63.8
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2021,46
Prostatectomy,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2022,48.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2003,29.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2004,30.1
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2005,29.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2006,26.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2007,20.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2008,20.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2009,22.1
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2010,21.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2011,27.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2012,35.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2013,34.8
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2014,34.6
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2015,25.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2016,28.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2017,24.5
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2018,22.7
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2019,25.3
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2020,64.4
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2021,23
Cataract surgery,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2022,28.4
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2012,78
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2013,64
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2014,73
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2015,72
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2016,85
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2017,89
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2018,75
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2019,79
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2020,86.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2021,94
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,CHL,Chile,2022,87
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2011,46.4
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2012,41.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2013,39.6
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2014,37.2
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2015,38.1
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2016,42.9
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2017,44.5
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2018,48
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2019,47.8
Knee replacement,Waiting times of patients on the list: % of all patients waiting more than 3 months,GBR,United Kingdom,2020,60.5
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2003,43.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2004,46.5
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2005,42.4
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2006,43.9
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2007,40.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2008,35.8
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2009,34.8
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2010,33.4
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2011,37.5
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2012,46.7
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2013,50.6
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2014,49.5
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2015,41.7
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2016,40.3
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2017,44.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2018,37.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2019,38.2
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2020,67.7
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2021,45.1
"Hip replacement (total and partial, including the revision of hip replacement)",Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2022,49.3
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2012,38.1
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2013,37.7
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2014,32.5
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2015,19
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2016,8.9
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2017,14.2
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2018,11.2
Coronary bypass,Waiting times of patients on the list: % of all patients waiting more than 3 months,ESP,Spain,2019,13.1
