COU,Country,Year,Variable_avoidable,Health_Performance_Value,Variable_foreign,Foreign_%_Value
ISR,Israel,2018,Avoidable mortality (preventable+treatable),9408,% of foreign-trained doctors,57.92
ISR,Israel,2019,Avoidable mortality (preventable+treatable),9671,% of foreign-trained doctors,57.81
ISR,Israel,2020,Avoidable mortality (preventable+treatable),10468,% of foreign-trained doctors,57.83
ITA,Italy,2018,Avoidable mortality (preventable+treatable),99706,% of foreign-trained doctors,0.84
ITA,Italy,2019,Avoidable mortality (preventable+treatable),98149,% of foreign-trained doctors,0.88
LTU,Lithuania,2018,Avoidable mortality (preventable+treatable),12232,% of foreign-trained doctors,0.49
LTU,Lithuania,2019,Avoidable mortality (preventable+treatable),12071,% of foreign-trained doctors,0.58
LTU,Lithuania,2020,Avoidable mortality (preventable+treatable),14129,% of foreign-trained doctors,0.64
LTU,Lithuania,2021,Avoidable mortality (preventable+treatable),15642,% of foreign-trained doctors,0.57
LUX,Luxembourg,2018,Avoidable mortality (preventable+treatable),895,% of foreign-trained doctors,100
LUX,Luxembourg,2019,Avoidable mortality (preventable+treatable),854,% of foreign-trained doctors,100
LUX,Luxembourg,2020,Avoidable mortality (preventable+treatable),939,% of foreign-trained doctors,100
LUX,Luxembourg,2021,Avoidable mortality (preventable+treatable),919,% of foreign-trained doctors,100
LVA,Latvia,2018,Avoidable mortality (preventable+treatable),9174,% of foreign-trained doctors,5.53
LVA,Latvia,2019,Avoidable mortality (preventable+treatable),8556,% of foreign-trained doctors,5.27
LVA,Latvia,2020,Avoidable mortality (preventable+treatable),8891,% of foreign-trained doctors,5.95
LVA,Latvia,2021,Avoidable mortality (preventable+treatable),11517,% of foreign-trained doctors,5.85
NLD,Netherlands,2018,Avoidable mortality (preventable+treatable),31209,% of foreign-trained doctors,3.21
NLD,Netherlands,2019,Avoidable mortality (preventable+treatable),30297,% of foreign-trained doctors,3.583
NLD,Netherlands,2020,Avoidable mortality (preventable+treatable),33463,% of foreign-trained doctors,3.565
POL,Poland,2018,Avoidable mortality (preventable+treatable),122685,% of foreign-trained doctors,1.94
POL,Poland,2019,Avoidable mortality (preventable+treatable),124735,% of foreign-trained doctors,2.09
POL,Poland,2020,Avoidable mortality (preventable+treatable),151269,% of foreign-trained doctors,2.23
SVN,Slovenia,2019,Avoidable mortality (preventable+treatable),4843,% of foreign-trained doctors,16.457
SVN,Slovenia,2020,Avoidable mortality (preventable+treatable),5483,% of foreign-trained doctors,16.045
SWE,Sweden,2018,Avoidable mortality (preventable+treatable),17040,% of foreign-trained doctors,28.793
