COU,Country,Variable,Year,Foreign_%_Value
DNK,Denmark,% of foreign-trained doctors,2013,8.73
DNK,Denmark,% of foreign-trained doctors,2014,8.94
DNK,Denmark,% of foreign-trained doctors,2015,9.15
DNK,Denmark,% of foreign-trained doctors,2016,9.24
DNK,Denmark,% of foreign-trained doctors,2017,9.22
DNK,Denmark,% of foreign-trained doctors,2018,9.37
DNK,Denmark,% of foreign-trained doctors,2019,9.46
DNK,Denmark,% of foreign-trained doctors,2020,9.53
FIN,Finland,% of foreign-trained doctors,2000,5.02
FIN,Finland,% of foreign-trained doctors,2001,5.24
FIN,Finland,% of foreign-trained doctors,2002,5.38
FIN,Finland,% of foreign-trained doctors,2003,5.62
FIN,Finland,% of foreign-trained doctors,2004,6.25
FIN,Finland,% of foreign-trained doctors,2005,8.18
FIN,Finland,% of foreign-trained doctors,2006,8.45
FIN,Finland,% of foreign-trained doctors,2007,8.82
FIN,Finland,% of foreign-trained doctors,2008,9.26
FIN,Finland,% of foreign-trained doctors,2009,9.53
FIN,Finland,% of foreign-trained doctors,2010,10.46
FIN,Finland,% of foreign-trained doctors,2011,15.39
FIN,Finland,% of foreign-trained doctors,2012,15.88
FIN,Finland,% of foreign-trained doctors,2013,16.46
FIN,Finland,% of foreign-trained doctors,2014,16.88
FIN,Finland,% of foreign-trained doctors,2015,17.27
FIN,Finland,% of foreign-trained doctors,2016,17.54
FIN,Finland,% of foreign-trained doctors,2017,17.96
FIN,Finland,% of foreign-trained doctors,2018,18.27
FIN,Finland,% of foreign-trained doctors,2019,18.69
FIN,Finland,% of foreign-trained doctors,2020,19.12
FIN,Finland,% of foreign-trained doctors,2021,19.5
FRA,France,% of foreign-trained doctors,2000,3.908
FRA,France,% of foreign-trained doctors,2001,4.327
FRA,France,% of foreign-trained doctors,2002,4.794
FRA,France,% of foreign-trained doctors,2003,5.17
FRA,France,% of foreign-trained doctors,2004,5.48
FRA,France,% of foreign-trained doctors,2005,5.585
FRA,France,% of foreign-trained doctors,2006,5.764
FRA,France,% of foreign-trained doctors,2007,6.318
FRA,France,% of foreign-trained doctors,2008,6.718
FRA,France,% of foreign-trained doctors,2009,6.971
FRA,France,% of foreign-trained doctors,2010,7.451
FRA,France,% of foreign-trained doctors,2011,8.436
FRA,France,% of foreign-trained doctors,2012,8.933
FRA,France,% of foreign-trained doctors,2013,9.431
FRA,France,% of foreign-trained doctors,2014,10.044
FRA,France,% of foreign-trained doctors,2015,10.582
FRA,France,% of foreign-trained doctors,2016,11.045
FRA,France,% of foreign-trained doctors,2017,11.375
FRA,France,% of foreign-trained doctors,2018,11.64
FRA,France,% of foreign-trained doctors,2019,11.81
FRA,France,% of foreign-trained doctors,2020,12.048
FRA,France,% of foreign-trained doctors,2021,12.327
DEU,Germany,% of foreign-trained doctors,2000,3.721
DEU,Germany,% of foreign-trained doctors,2001,3.968
DEU,Germany,% of foreign-trained doctors,2002,4.306
DEU,Germany,% of foreign-trained doctors,2003,4.608
DEU,Germany,% of foreign-trained doctors,2004,4.801
DEU,Germany,% of foreign-trained doctors,2005,4.886
DEU,Germany,% of foreign-trained doctors,2006,5.169
DEU,Germany,% of foreign-trained doctors,2007,5.363
DEU,Germany,% of foreign-trained doctors,2008,5.731
DEU,Germany,% of foreign-trained doctors,2009,6.157
DEU,Germany,% of foreign-trained doctors,2010,6.565
DEU,Germany,% of foreign-trained doctors,2011,7.301
DEU,Germany,% of foreign-trained doctors,2012,8.164
DEU,Germany,% of foreign-trained doctors,2013,8.84
DEU,Germany,% of foreign-trained doctors,2014,9.53
DEU,Germany,% of foreign-trained doctors,2015,10.258
DEU,Germany,% of foreign-trained doctors,2016,11.04
DEU,Germany,% of foreign-trained doctors,2017,11.88
DEU,Germany,% of foreign-trained doctors,2018,12.51
DEU,Germany,% of foreign-trained doctors,2019,13.14
DEU,Germany,% of foreign-trained doctors,2020,13.77
DEU,Germany,% of foreign-trained doctors,2021,13.78
CHL,Chile,% of foreign-trained doctors,2014,15.24
CHL,Chile,% of foreign-trained doctors,2015,16.12
CHL,Chile,% of foreign-trained doctors,2016,17.87
CHL,Chile,% of foreign-trained doctors,2017,21.27
CHL,Chile,% of foreign-trained doctors,2018,22.74
CHL,Chile,% of foreign-trained doctors,2019,20.82
CHL,Chile,% of foreign-trained doctors,2020,22.97
CHL,Chile,% of foreign-trained doctors,2021,23.39
CHL,Chile,% of foreign-trained doctors,2022,24.79
HUN,Hungary,% of foreign-trained doctors,2004,7.687
HUN,Hungary,% of foreign-trained doctors,2005,7.698
HUN,Hungary,% of foreign-trained doctors,2006,7.695
HUN,Hungary,% of foreign-trained doctors,2007,7.697
HUN,Hungary,% of foreign-trained doctors,2008,7.709
HUN,Hungary,% of foreign-trained doctors,2009,7.684
HUN,Hungary,% of foreign-trained doctors,2010,7.726
HUN,Hungary,% of foreign-trained doctors,2011,7.659
HUN,Hungary,% of foreign-trained doctors,2012,7.425
HUN,Hungary,% of foreign-trained doctors,2013,7.561
HUN,Hungary,% of foreign-trained doctors,2014,7.569
HUN,Hungary,% of foreign-trained doctors,2015,7.787
HUN,Hungary,% of foreign-trained doctors,2016,7.803
HUN,Hungary,% of foreign-trained doctors,2017,8.03
HUN,Hungary,% of foreign-trained doctors,2018,8.09
HUN,Hungary,% of foreign-trained doctors,2019,8.205
HUN,Hungary,% of foreign-trained doctors,2020,8.18
HUN,Hungary,% of foreign-trained doctors,2021,8.187
IRL,Ireland,% of foreign-trained doctors,2011,35.658
IRL,Ireland,% of foreign-trained doctors,2012,32.639
NLD,Netherlands,% of foreign-trained doctors,2001,1.775
NLD,Netherlands,% of foreign-trained doctors,2002,1.887
NLD,Netherlands,% of foreign-trained doctors,2003,1.981
NLD,Netherlands,% of foreign-trained doctors,2004,1.943
NLD,Netherlands,% of foreign-trained doctors,2005,2.08
NLD,Netherlands,% of foreign-trained doctors,2006,2.089
NLD,Netherlands,% of foreign-trained doctors,2007,2.189
NLD,Netherlands,% of foreign-trained doctors,2008,2.312
NLD,Netherlands,% of foreign-trained doctors,2009,2.487
NLD,Netherlands,% of foreign-trained doctors,2010,2.626
NLD,Netherlands,% of foreign-trained doctors,2011,2.603
NLD,Netherlands,% of foreign-trained doctors,2012,2.08
NLD,Netherlands,% of foreign-trained doctors,2013,2.051
NLD,Netherlands,% of foreign-trained doctors,2014,2.128
NLD,Netherlands,% of foreign-trained doctors,2015,2.178
NLD,Netherlands,% of foreign-trained doctors,2016,2.218
NLD,Netherlands,% of foreign-trained doctors,2017,2.744
NLD,Netherlands,% of foreign-trained doctors,2018,3.21
NLD,Netherlands,% of foreign-trained doctors,2019,3.583
NLD,Netherlands,% of foreign-trained doctors,2020,3.565
NLD,Netherlands,% of foreign-trained doctors,2021,3.613
IRL,Ireland,% of foreign-trained doctors,2013,34.218
IRL,Ireland,% of foreign-trained doctors,2014,36.069
IRL,Ireland,% of foreign-trained doctors,2015,39.029
IRL,Ireland,% of foreign-trained doctors,2016,41.62
IRL,Ireland,% of foreign-trained doctors,2017,42.33
IRL,Ireland,% of foreign-trained doctors,2018,41.64
IRL,Ireland,% of foreign-trained doctors,2019,41.35
IRL,Ireland,% of foreign-trained doctors,2020,40.19
IRL,Ireland,% of foreign-trained doctors,2021,40.45
NZL,New Zealand,% of foreign-trained doctors,2000,37.98
NZL,New Zealand,% of foreign-trained doctors,2001,38.87
NZL,New Zealand,% of foreign-trained doctors,2002,39.58
NZL,New Zealand,% of foreign-trained doctors,2003,40.16
NZL,New Zealand,% of foreign-trained doctors,2004,40.45
NZL,New Zealand,% of foreign-trained doctors,2005,40.93
NZL,New Zealand,% of foreign-trained doctors,2006,40.65
NZL,New Zealand,% of foreign-trained doctors,2007,41.71
NZL,New Zealand,% of foreign-trained doctors,2008,42.73
NZL,New Zealand,% of foreign-trained doctors,2009,43.02
NZL,New Zealand,% of foreign-trained doctors,2010,43.64
NZL,New Zealand,% of foreign-trained doctors,2011,43.53
NZL,New Zealand,% of foreign-trained doctors,2012,43.53
NZL,New Zealand,% of foreign-trained doctors,2013,43.5
NOR,Norway,% of foreign-trained doctors,2009,34.059
NOR,Norway,% of foreign-trained doctors,2010,34.405
NOR,Norway,% of foreign-trained doctors,2011,35.216
NOR,Norway,% of foreign-trained doctors,2012,36.059
NOR,Norway,% of foreign-trained doctors,2013,36.437
NOR,Norway,% of foreign-trained doctors,2014,37.291
NOR,Norway,% of foreign-trained doctors,2015,37.904
NOR,Norway,% of foreign-trained doctors,2016,38.73
NOR,Norway,% of foreign-trained doctors,2017,39.42
NOR,Norway,% of foreign-trained doctors,2018,40.086
NOR,Norway,% of foreign-trained doctors,2019,40.806
NOR,Norway,% of foreign-trained doctors,2020,41.264
NOR,Norway,% of foreign-trained doctors,2021,42.1
POL,Poland,% of foreign-trained doctors,2008,2.11
POL,Poland,% of foreign-trained doctors,2009,2.11
POL,Poland,% of foreign-trained doctors,2010,2.05
POL,Poland,% of foreign-trained doctors,2011,1.76
POL,Poland,% of foreign-trained doctors,2012,1.76
POL,Poland,% of foreign-trained doctors,2013,1.78
POL,Poland,% of foreign-trained doctors,2014,1.78
POL,Poland,% of foreign-trained doctors,2015,1.8
POL,Poland,% of foreign-trained doctors,2016,1.84
POL,Poland,% of foreign-trained doctors,2017,1.88
POL,Poland,% of foreign-trained doctors,2018,1.94
POL,Poland,% of foreign-trained doctors,2019,2.09
POL,Poland,% of foreign-trained doctors,2020,2.23
POL,Poland,% of foreign-trained doctors,2021,2.69
SVK,Slovak Republic,% of foreign-trained doctors,2010,2.63
SVK,Slovak Republic,% of foreign-trained doctors,2011,2.994
NZL,New Zealand,% of foreign-trained doctors,2014,42.59
NZL,New Zealand,% of foreign-trained doctors,2015,42.12
NZL,New Zealand,% of foreign-trained doctors,2016,42.36
NZL,New Zealand,% of foreign-trained doctors,2017,42.41
NZL,New Zealand,% of foreign-trained doctors,2018,42.46
NZL,New Zealand,% of foreign-trained doctors,2019,42.59
NZL,New Zealand,% of foreign-trained doctors,2020,42.39
NZL,New Zealand,% of foreign-trained doctors,2021,42.12
NZL,New Zealand,% of foreign-trained doctors,2022,42.15
PRT,Portugal,% of foreign-trained doctors,2017,11.99
SVN,Slovenia,% of foreign-trained doctors,2010,10.66
SVN,Slovenia,% of foreign-trained doctors,2011,11.79
SVN,Slovenia,% of foreign-trained doctors,2012,14
SVN,Slovenia,% of foreign-trained doctors,2013,14.42
SVN,Slovenia,% of foreign-trained doctors,2014,14.18
SVN,Slovenia,% of foreign-trained doctors,2015,14.1
SVN,Slovenia,% of foreign-trained doctors,2016,18.53
SVN,Slovenia,% of foreign-trained doctors,2017,17.3
SVN,Slovenia,% of foreign-trained doctors,2019,16.457
SVN,Slovenia,% of foreign-trained doctors,2020,16.045
CHE,Switzerland,% of foreign-trained doctors,2008,21.843
CHE,Switzerland,% of foreign-trained doctors,2009,23.046
CHE,Switzerland,% of foreign-trained doctors,2010,24.127
CHE,Switzerland,% of foreign-trained doctors,2011,25.31
CHE,Switzerland,% of foreign-trained doctors,2012,27.023
CHE,Switzerland,% of foreign-trained doctors,2013,29.348
CHE,Switzerland,% of foreign-trained doctors,2014,30.505
CHE,Switzerland,% of foreign-trained doctors,2015,31.53
CHE,Switzerland,% of foreign-trained doctors,2016,32.896
CHE,Switzerland,% of foreign-trained doctors,2017,34.065
CHE,Switzerland,% of foreign-trained doctors,2018,35.352
CHE,Switzerland,% of foreign-trained doctors,2019,36.3
CHE,Switzerland,% of foreign-trained doctors,2020,37.36
CHE,Switzerland,% of foreign-trained doctors,2021,38.44
TUR,Türkiye,% of foreign-trained doctors,2000,0.06
TUR,Türkiye,% of foreign-trained doctors,2001,0.13
TUR,Türkiye,% of foreign-trained doctors,2002,0.17
TUR,Türkiye,% of foreign-trained doctors,2003,0.19
TUR,Türkiye,% of foreign-trained doctors,2004,0.21
TUR,Türkiye,% of foreign-trained doctors,2005,0.22
TUR,Türkiye,% of foreign-trained doctors,2006,0.23
TUR,Türkiye,% of foreign-trained doctors,2007,0.23
TUR,Türkiye,% of foreign-trained doctors,2008,0.22
TUR,Türkiye,% of foreign-trained doctors,2009,0.21
TUR,Türkiye,% of foreign-trained doctors,2010,0.21
TUR,Türkiye,% of foreign-trained doctors,2011,0.21
TUR,Türkiye,% of foreign-trained doctors,2012,0.2
TUR,Türkiye,% of foreign-trained doctors,2013,0.2
TUR,Türkiye,% of foreign-trained doctors,2014,0.19
TUR,Türkiye,% of foreign-trained doctors,2015,0.19
SVN,Slovenia,% of foreign-trained doctors,2021,15.809
SVN,Slovenia,% of foreign-trained doctors,2022,15.4
SWE,Sweden,% of foreign-trained doctors,2000,13.959
SWE,Sweden,% of foreign-trained doctors,2001,14.929
SWE,Sweden,% of foreign-trained doctors,2002,15.915
SWE,Sweden,% of foreign-trained doctors,2003,16.701
SWE,Sweden,% of foreign-trained doctors,2004,17.562
SWE,Sweden,% of foreign-trained doctors,2005,18.504
SWE,Sweden,% of foreign-trained doctors,2006,19.343
SWE,Sweden,% of foreign-trained doctors,2007,20.396
SWE,Sweden,% of foreign-trained doctors,2008,21.639
SWE,Sweden,% of foreign-trained doctors,2009,22.543
SWE,Sweden,% of foreign-trained doctors,2010,23.541
SWE,Sweden,% of foreign-trained doctors,2011,24.283
USA,United States,% of foreign-trained doctors,2006,25.09
USA,United States,% of foreign-trained doctors,2007,25.06
USA,United States,% of foreign-trained doctors,2008,25.08
USA,United States,% of foreign-trained doctors,2010,24.84
USA,United States,% of foreign-trained doctors,2011,24.66
USA,United States,% of foreign-trained doctors,2012,24.89
USA,United States,% of foreign-trained doctors,2013,24.95
USA,United States,% of foreign-trained doctors,2014,24.86
USA,United States,% of foreign-trained doctors,2015,24.93
USA,United States,% of foreign-trained doctors,2016,24.99
SWE,Sweden,% of foreign-trained doctors,2012,25.101
SWE,Sweden,% of foreign-trained doctors,2013,26.071
SWE,Sweden,% of foreign-trained doctors,2014,27.14
SWE,Sweden,% of foreign-trained doctors,2015,26.301
SWE,Sweden,% of foreign-trained doctors,2016,27.327
SWE,Sweden,% of foreign-trained doctors,2017,28.019
SWE,Sweden,% of foreign-trained doctors,2018,28.793
SWE,Sweden,% of foreign-trained doctors,2019,29.436
SWE,Sweden,% of foreign-trained doctors,2020,30.215
EST,Estonia,% of foreign-trained doctors,2002,0
EST,Estonia,% of foreign-trained doctors,2003,0.03
EST,Estonia,% of foreign-trained doctors,2004,0.15
EST,Estonia,% of foreign-trained doctors,2005,0.37
EST,Estonia,% of foreign-trained doctors,2006,0.56
EST,Estonia,% of foreign-trained doctors,2007,0.74
EST,Estonia,% of foreign-trained doctors,2008,1
EST,Estonia,% of foreign-trained doctors,2009,1.26
EST,Estonia,% of foreign-trained doctors,2010,1.42
EST,Estonia,% of foreign-trained doctors,2011,1.73
EST,Estonia,% of foreign-trained doctors,2012,2.01
EST,Estonia,% of foreign-trained doctors,2013,2.35
EST,Estonia,% of foreign-trained doctors,2014,2.64
EST,Estonia,% of foreign-trained doctors,2015,3.04
EST,Estonia,% of foreign-trained doctors,2016,3.31
EST,Estonia,% of foreign-trained doctors,2017,3.57
EST,Estonia,% of foreign-trained doctors,2018,3.86
EST,Estonia,% of foreign-trained doctors,2019,3.94
EST,Estonia,% of foreign-trained doctors,2020,4.06
EST,Estonia,% of foreign-trained doctors,2021,4.16
EST,Estonia,% of foreign-trained doctors,2022,4.32
ISR,Israel,% of foreign-trained doctors,2000,64.45
ISR,Israel,% of foreign-trained doctors,2001,64.3
ISR,Israel,% of foreign-trained doctors,2002,64.17
ISR,Israel,% of foreign-trained doctors,2003,63.81
ISR,Israel,% of foreign-trained doctors,2004,63.36
ISR,Israel,% of foreign-trained doctors,2005,62.66
ISR,Israel,% of foreign-trained doctors,2006,62.04
ISR,Israel,% of foreign-trained doctors,2007,61.4
ISR,Israel,% of foreign-trained doctors,2008,60.7
ISR,Israel,% of foreign-trained doctors,2009,60.31
ISR,Israel,% of foreign-trained doctors,2010,59.97
ISR,Israel,% of foreign-trained doctors,2011,59.84
ISR,Israel,% of foreign-trained doctors,2012,59.48
ISR,Israel,% of foreign-trained doctors,2013,59.11
ISR,Israel,% of foreign-trained doctors,2014,58.56
ISR,Israel,% of foreign-trained doctors,2015,58.48
ISR,Israel,% of foreign-trained doctors,2016,58.12
ISR,Israel,% of foreign-trained doctors,2017,57.84
ISR,Israel,% of foreign-trained doctors,2018,57.92
ISR,Israel,% of foreign-trained doctors,2019,57.81
ISR,Israel,% of foreign-trained doctors,2020,57.83
ISR,Israel,% of foreign-trained doctors,2021,57.82
ISR,Israel,% of foreign-trained doctors,2022,57.98
GBR,United Kingdom,% of foreign-trained doctors,2008,29.88
GBR,United Kingdom,% of foreign-trained doctors,2009,30.12
GBR,United Kingdom,% of foreign-trained doctors,2010,29.8
GBR,United Kingdom,% of foreign-trained doctors,2011,29.29
GBR,United Kingdom,% of foreign-trained doctors,2012,29.01
GBR,United Kingdom,% of foreign-trained doctors,2013,28.98
GBR,United Kingdom,% of foreign-trained doctors,2014,28.46
GBR,United Kingdom,% of foreign-trained doctors,2015,27.496
GBR,United Kingdom,% of foreign-trained doctors,2016,28.38
GBR,United Kingdom,% of foreign-trained doctors,2017,28.663
GBR,United Kingdom,% of foreign-trained doctors,2018,29.23
GBR,United Kingdom,% of foreign-trained doctors,2019,30.34
GBR,United Kingdom,% of foreign-trained doctors,2020,30.76
ITA,Italy,% of foreign-trained doctors,2000,0.42
ITA,Italy,% of foreign-trained doctors,2001,0.44
ITA,Italy,% of foreign-trained doctors,2002,0.46
ITA,Italy,% of foreign-trained doctors,2003,0.49
ITA,Italy,% of foreign-trained doctors,2004,0.61
ITA,Italy,% of foreign-trained doctors,2005,0.67
ITA,Italy,% of foreign-trained doctors,2006,0.7
ITA,Italy,% of foreign-trained doctors,2007,0.72
ITA,Italy,% of foreign-trained doctors,2008,0.74
ITA,Italy,% of foreign-trained doctors,2009,0.77
ITA,Italy,% of foreign-trained doctors,2010,0.8
ITA,Italy,% of foreign-trained doctors,2011,0.82
ITA,Italy,% of foreign-trained doctors,2012,0.83
ITA,Italy,% of foreign-trained doctors,2013,0.84
ITA,Italy,% of foreign-trained doctors,2014,0.83
ITA,Italy,% of foreign-trained doctors,2015,0.83
ITA,Italy,% of foreign-trained doctors,2016,0.83
ITA,Italy,% of foreign-trained doctors,2017,0.82
ITA,Italy,% of foreign-trained doctors,2018,0.84
ITA,Italy,% of foreign-trained doctors,2019,0.88
ITA,Italy,% of foreign-trained doctors,2020,0.9
ITA,Italy,% of foreign-trained doctors,2021,0.94
ITA,Italy,% of foreign-trained doctors,2022,0.97
LTU,Lithuania,% of foreign-trained doctors,2014,0.26
LTU,Lithuania,% of foreign-trained doctors,2015,0.29
LTU,Lithuania,% of foreign-trained doctors,2016,0.34
LTU,Lithuania,% of foreign-trained doctors,2017,0.43
LTU,Lithuania,% of foreign-trained doctors,2018,0.49
LTU,Lithuania,% of foreign-trained doctors,2019,0.58
LTU,Lithuania,% of foreign-trained doctors,2020,0.64
LTU,Lithuania,% of foreign-trained doctors,2021,0.57
LTU,Lithuania,% of foreign-trained doctors,2022,0.72
LVA,Latvia,% of foreign-trained doctors,2004,8.14
LVA,Latvia,% of foreign-trained doctors,2005,8.08
LVA,Latvia,% of foreign-trained doctors,2006,8.06
LVA,Latvia,% of foreign-trained doctors,2007,8.06
LVA,Latvia,% of foreign-trained doctors,2008,7.91
LVA,Latvia,% of foreign-trained doctors,2009,7.41
LVA,Latvia,% of foreign-trained doctors,2010,7.01
LVA,Latvia,% of foreign-trained doctors,2011,7.15
LVA,Latvia,% of foreign-trained doctors,2012,7.09
LVA,Latvia,% of foreign-trained doctors,2013,6.96
LVA,Latvia,% of foreign-trained doctors,2014,6.74
LVA,Latvia,% of foreign-trained doctors,2015,6.52
LVA,Latvia,% of foreign-trained doctors,2016,6.25
LVA,Latvia,% of foreign-trained doctors,2017,5.95
LVA,Latvia,% of foreign-trained doctors,2018,5.53
LVA,Latvia,% of foreign-trained doctors,2019,5.27
LVA,Latvia,% of foreign-trained doctors,2020,5.95
LVA,Latvia,% of foreign-trained doctors,2021,5.85
LUX,Luxembourg,% of foreign-trained doctors,2000,100
LUX,Luxembourg,% of foreign-trained doctors,2001,100
LUX,Luxembourg,% of foreign-trained doctors,2002,100
LUX,Luxembourg,% of foreign-trained doctors,2003,100
LUX,Luxembourg,% of foreign-trained doctors,2004,100
LUX,Luxembourg,% of foreign-trained doctors,2005,100
LUX,Luxembourg,% of foreign-trained doctors,2006,100
LUX,Luxembourg,% of foreign-trained doctors,2007,100
LUX,Luxembourg,% of foreign-trained doctors,2008,100
LUX,Luxembourg,% of foreign-trained doctors,2009,100
LUX,Luxembourg,% of foreign-trained doctors,2010,100
LUX,Luxembourg,% of foreign-trained doctors,2011,100
LUX,Luxembourg,% of foreign-trained doctors,2012,100
LUX,Luxembourg,% of foreign-trained doctors,2013,100
LUX,Luxembourg,% of foreign-trained doctors,2014,100
LUX,Luxembourg,% of foreign-trained doctors,2015,100
LUX,Luxembourg,% of foreign-trained doctors,2016,100
LUX,Luxembourg,% of foreign-trained doctors,2017,100
LUX,Luxembourg,% of foreign-trained doctors,2018,100
LUX,Luxembourg,% of foreign-trained doctors,2019,100
LUX,Luxembourg,% of foreign-trained doctors,2020,100
LUX,Luxembourg,% of foreign-trained doctors,2021,100
COL,Colombia,% of foreign-trained doctors,2011,4.52
COL,Colombia,% of foreign-trained doctors,2012,4.45
COL,Colombia,% of foreign-trained doctors,2013,4.46
COL,Colombia,% of foreign-trained doctors,2014,4.56
COL,Colombia,% of foreign-trained doctors,2015,4.67
